,alt,az,airmass,moonRA,moonDec,moonSep,fieldID,objType,magnitude,mjdExpStart,risen,scheduled,observable
15,12.798323347099686,331.1248411209977,4.51426585980928,291.4467097472617,-26.127560346213826,121.14162073703169,BD+57 1363,bright star,3.31,59418.303385,True,False,False
16,11.016467574493161,332.86227087777223,5.2331055386972025,291.57802729714376,-26.10554873937828,121.19556592570463,BD+57 1363,bright star,3.31,59418.315885,True,False,False
17,9.3398311400379,334.695008551107,6.1618156059807,291.7109149182046,-26.081242456423507,121.24853967523363,BD+57 1363,bright star,3.31,59418.328385,True,False,False
18,7.775657264024004,336.6186598340224,7.391276347156932,291.84576518116444,-26.054705336472065,121.30080542754709,BD+57 1363,bright star,3.31,59418.340885,True,False,False
19,6.331045622482193,338.6284143590235,9.068413568699505,291.9829568013039,-26.026013495593244,121.35262877979895,BD+57 1363,bright star,3.31,59418.353385,True,False,False
20,5.012878903167928,340.7189195665993,11.444310369390328,292.12285217131006,-25.995254692022673,121.4042756361196,BD+57 1363,bright star,3.31,59418.365885,True,False,False
21,3.8277368811737387,342.8841785395576,14.979718612833594,292.26579506083243,-25.962527602498053,121.45601037926932,BD+57 1363,bright star,3.31,59418.378385,True,False,False
22,2.7818004864786605,345.1174763430299,20.60474721947767,292.41210848308987,-25.927941021391145,121.50809407212495,BD+57 1363,bright star,3.31,59418.390885,True,False,False
23,1.880749147705845,347.4113394838001,30.469810513960052,292.562092756662,-25.891612991560635,121.5607827102128,BD+57 1363,bright star,3.31,59418.403385,True,False,False
24,1.1296555692867096,349.7575323420733,50.72297550410666,292.7160237575994,-25.85366988011746,121.61432553421099,BD+57 1363,bright star,3.31,59418.415885,True,False,False
25,0.5328827637926516,352.1470930318464,107.5219718715126,292.8741513944484,-25.81424540824429,121.66896342640804,BD+57 1363,bright star,3.31,59418.428385,True,False,False
26,0.09398859783420761,354.5704090167657,609.6037873743478,293.03669830191393,-25.773479647571214,121.72492739928623,BD+57 1363,bright star,3.31,59418.440885,True,False,False
27,-0.1843568208896744,357.0173301064696,-310.78794970617037,293.20385874517046,-25.731517995444538,121.78243718138279,BD+57 1363,bright star,3.31,59418.453385,False,False,True
28,-0.30043599756942063,359.4773136500509,-190.70964377890655,293.37579775944704,-25.688510138232722,121.84169992205958,BD+57 1363,bright star,3.31,59418.465885,False,False,True
0,18.81495506688657,233.08230882775226,3.100652378590474,289.3877771541074,-26.179786003291344,95.43607538007929,BD-16 3424,bright star,2.59,59418.115885,True,False,False
1,15.720613699318541,236.2088233919584,3.6907616688485607,289.54369973498956,-26.190811846631288,95.56098294385374,BD-16 3424,bright star,2.59,59418.128385,True,False,False
2,12.51427191895857,239.1629659962956,4.615041084729389,289.69549884083875,-26.200159582929803,95.68303125954225,BD-16 3424,bright star,2.59,59418.140885,True,False,False
3,9.210216320314325,241.96477342469487,6.247766428817631,289.84345120087795,-26.207706555713713,95.80250855105974,BD-16 3424,bright star,2.59,59418.153385,True,False,False
4,5.821005462849646,244.63367289537516,9.859888221218355,289.9878579606298,-26.213338974133425,95.91971940561862,BD-16 3424,bright star,2.59,59418.165885,True,False,False
5,2.3576861010013928,247.18834874067764,24.30855924339047,290.12904291859576,-26.216952801045647,96.03498288971335,BD-16 3424,bright star,2.59,59418.178385,True,False,False
6,-1.1699958043121244,249.6467563506254,-48.974330878583054,290.26735057432165,-26.218454579237015,96.14863054742696,BD-16 3424,bright star,2.59,59418.190885,False,False,True
7,-4.753395874162107,252.02624497154247,-12.06749014290512,290.4031439815023,-26.217762185830694,96.26100427973199,BD-16 3424,bright star,2.59,59418.203385,False,False,True
8,-8.384786094389176,254.3437655533891,-6.857753900223562,290.53680243594766,-26.2148055041675,96.37245413261483,BD-16 3424,bright star,2.59,59418.215885,False,False,True
9,-12.057182646483351,256.6161526091952,-4.787258921432541,290.66871899811724,-26.209527004923924,96.48333599666931,BD-16 3424,bright star,2.59,59418.228385,False,False,True
10,-15.764183773613057,258.86048082848487,-3.6808185449144846,290.7992978966605,-26.201882226642102,96.59400925850021,BD-16 3424,bright star,2.59,59418.240885,False,False,True
11,-19.499812937927157,261.09450885370813,-2.995771932413724,290.92895181586744,-26.191840150108884,96.70483440718007,BD-16 3424,bright star,2.59,59418.253385,False,False,True
12,-23.25836068174297,263.3372356908691,-2.5324282277644397,291.058099109573,-26.179383459938872,96.81617063183174,BD-16 3424,bright star,2.59,59418.265885,False,False,True
13,-27.034216465605702,265.6096118824203,-2.200111014007024,291.18716094453686,-26.16450869072627,96.92837341130327,BD-16 3424,bright star,2.59,59418.278385,False,False,True
